item_name	AislingoC	AlexB	AllanaD	AmyR	AndyD	AnnaF	AoifeH	ChloeBergin	ChloeF	ChloeS	CianR	ConorF	DavidL	DillonF	DJHerlihy	EamonD	EimearK	EllenH	EoinL	GrainneH	JackBr	JackK	JackS	JamesoC	JenniferoS	KateF	KayleighMc	KenW	KevinL	KieranF	KillianB	KirstyC	LeeJ	MarkC	MatthewC	MeganoB	MichaelaoD	NataliaR	NiallG	NiallGavin	NiallW	OisinN	OlaA	OwenD	PalomaM	PauricT	PerryD	RachelD	RebeccaGr	RebeccaM	RebeccaR	RoisinF	RonanT	SarahP	ShaunaBr	SiobhanR	TaraB	TeeTeeOj	ThomasK	TristianT	Zainab
act	594.8	586	-999	693	597	627	649	1081	642	622.7	701	686	951	661	692	670	502.4	578.4	651.8	441.6	895.2	529	639	809	676.9	568.8	586.1	591.3	587	586	723.9	1428	557	639.4	676	714.8	623.3	615	796	568.4	800.9	595	-999	574.9	628	797	652	757	631	520.5	640	733	566	758	670	532.4	615.7	540	1390	747	651
ask	481.5	864	1163	694.4	616	631	538	799.3	603	526	591.5	699.6	827.2	635	654	508	564	822	479.7	600	617.6	555.9	654.6	765	856	576.7	690.3	501.9	634	626	523.3	640.7	516	625.7	561	698.2	685	606	793	551.9	668.7	722	868	633	578	660.2	851	640.3	630	535	568	579.7	562	747	602.4	558.4	691	580.8	590.9	795	740.5
both	457.5	670	1114.3	980	1019	796.1	545.2	-999	581	568.4	665	751	917	808.1	737.6	597	475	608	699.2	600.6	527.3	601	982.1	917	854.4	571.6	825.3	584	720	571	624	853.4	-999	703	781	1065.8	591.5	559.2	837.6	612	743.4	743	919	883	616	734.6	658	574.4	634.9	559.7	689	997.8	648	753.4	548	530.5	625.4	552	985	640	764
box	546	748.6	975	678	589	604	574	658	688.7	492	641	699	824	731.6	634	557.5	520.1	581	1191	612	540	540	810	885	573.8	614.9	722	594.6	632	549	564	632.6	668.6	627	577	785.9	649	616	928	608.7	690	857	886.6	544	863	726	812	640.5	613.8	395.1	656.7	604.7	530	667.4	547.7	570	585.6	532	634	764	912
broad	580	1473.5	-999	789	684	-999	815.6	-999	-999	798	1473.6	-999	827.1	625	605.5	828.4	556	637	647.6	-999	616.7	628	1147.4	-999	708.7	710	683.1	713.7	-999	671.4	631	-999	-999	1564.9	814	704	-999	670	-999	631	-999	-999	-999	799	-999	-999	-999	1832.3	747.6	948	640	-999	-999	-999	1046	727.7	851.8	1072.7	876	751	-999
bronze	546	861.2	-999	845	731.9	803.4	487.1	1701	871	574	753	798.4	899.8	752	657	840.5	733.9	665	695.6	850.4	582.9	575	620.7	1023	-999	642.3	609	607.2	881.6	663.6	595.3	1859.4	664	-999	599.2	970.7	811	616	-999	619.1	841.8	957	-999	766	734	808	833.7	560	754	680	663.4	698.2	611	1077.6	625	593.7	737.3	807.8	737.5	843	877.4
calf	552	766	-999	927.8	670	618	751.4	932	724	593.8	547	733.4	751.8	630	638.5	1080	519.2	611	582.4	688.1	602.7	592	969	719.8	707	975.6	825	699.7	816.3	708.1	635	-999	654.2	1095.1	625.2	714.2	910.7	766.5	1594.5	614.4	830	934.6	-999	765	704	1011.7	646	621	614	673	623.2	709	599	909.7	730	539.9	630	659	699	769	642
can	508	726	1148.2	852	649	617	473.6	777	554	500.7	670	619	687	599	431.1	657	714	694.2	590.6	683.4	574.9	600	510	699	657	628	561	530.6	700	538	570	684	600.3	760.8	507	705.1	675.7	680	997.9	580	921	720	737	562	637.4	630	715	551.1	692.9	493	553.7	627	906	615	518	633.6	558.5	480	633	631	649
care	572	909.8	-999	948	766	544.2	558.5	719	499	570.7	592	667.6	697	634	525.2	536	1138.9	602	701	678	581.3	688	661.5	1083	664	619.7	649.1	543.3	540.5	616	596	841	596.6	678	507	614.4	610	552.5	835.7	634	662.8	934	891	647	571	614	565	486.3	605	826	509	625.1	699	731	476	544.9	706.5	-999	649	668	560.1
carve	664.3	702	-999	934.4	629.9	883.5	892.3	1551	933	655.6	747.5	704.5	1749.4	763.2	832.2	551	512.5	599	594.5	1007	686.6	610	768.1	924	1014	582	641	713	587.5	523	934	1997.9	707.8	-999	528.4	631.4	1060.5	686	826	601.6	802.2	783	-999	-999	639	1310	628	541.9	630	617.3	639	941	549	746	544.1	533.3	928.9	566	765	690.9	677
chance	757.1	751.3	-999	982.1	833.8	667	527.6	686.3	518.5	668.5	732	674.7	827.7	1272.9	607.1	659.5	553.8	625.6	627.1	603.6	526	652	615.3	1384	731	632.2	751.3	604.2	700.8	493.7	646.4	-999	585	789.9	564	724.5	689.3	596	875.7	606.8	671.9	815.5	-999	571	530.8	713.5	795	519.5	689.6	528.5	592.5	724.4	632	993.1	610.9	532.6	507.9	562.4	588.4	578	538.4
cheat	542	629.6	-999	744.4	640.8	1542	529.6	819.5	680.2	629.9	709.7	617.1	933.8	689	869.9	527.6	563.5	678.3	663	621.8	535	543.2	596.1	742	711.1	582	913.1	654.5	589.8	558	631.7	-999	465.5	705.3	599.3	680.2	608.9	563.6	933.1	517	1074.3	653.4	-999	573.2	544.9	675	805.2	657.5	494	625.9	589	917.7	800.1	1653.8	597	479.8	668.7	680.4	678.4	636	574
