soa,relationproportion,lexicality,relation,prime,target,item ,participant,sex,age,Bilingualism,SPQPos,SPQNeg,SPQDis,OLIFEPos,OLIFENeg,OLIFEDis,OLIFEImp,reactiontime
long,0.327,word,related,nail,FINGER,12105,DA28,Female,24,12,10,12,10,1,4,5,1,576.69
long,0.327,word,related,nail,FINGER,12105,DA30,Female,19,6,14,15,15,0,1,6,2,455.82
long,0.327,word,related,nail,FINGER,12105,DB35,Female,22,11,14,11,8,2,1,1,1,902.35
long,0.327,word,related,nail,FINGER,12105,DB24,Female,20,14,12,23,17,3,3,7,2,341.21
long,0.327,word,related,nail,FINGER,12105,DB06,Female,19,7,16,27,13,1,2,4,1,724.99
long,0.327,word,related,nail,FINGER,12105,DA05,Female,21,15,13,32,16,0,7,7,4,522.2
long,0.327,word,related,nail,FINGER,12105,DB44,Female,18,16,21,25,14,5,2,10,6,1019.28
long,0.327,word,related,nail,FINGER,12105,DB18,Male,19,7,12,20,20,1,3,3,5,671.7
long,0.327,word,related,nail,FINGER,12105,DA36,Male,21,12,11,17,14,0,1,4,2,865.72
long,0.327,word,related,nail,FINGER,12105,DB27,Female,21,15,13,34,19,2,4,10,2,481.94
long,0.327,word,related,nail,FINGER,12105,DB04,Female,19,6,9,15,10,0,3,2,0,463.31
long,0.327,word,related,nail,FINGER,12105,DA09,Female,18,14,20,17,11,2,3,3,2,500.78
long,0.327,word,related,nail,FINGER,12105,DB11,Female,18,13,20,21,16,6,3,8,5,510.87
long,0.327,word,related,nail,FINGER,12105,DB34,Female,19,14,11,14,8,0,5,4,0,824.61
long,0.327,word,related,nail,FINGER,12105,DA01,Female,22,9,9,21,14,3,3,5,1,455.76
long,0.327,word,related,nail,FINGER,12105,DB17,Female,19,14,21,24,14,3,2,6,3,1170.01
long,0.327,word,related,nail,FINGER,12105,DB33,Female,20,18,9,25,12,2,7,3,2,591.36
long,0.327,word,related,nail,FINGER,12105,DB21,Female,18,20,21,12,15,3,3,0,2,835.62
long,0.327,word,related,nail,FINGER,12105,DA33,Female,18,13,12,19,7,0,3,2,1,371.5
long,0.327,word,related,nail,FINGER,12105,DA24,Female,18,4,21,13,9,3,2,2,3,981.91
long,0.327,word,related,nail,FINGER,12105,DA20,Female,19,16,14,17,14,0,1,3,2,376.17
long,0.327,word,related,nail,FINGER,12105,DB25,Female,18,14,16,12,7,4,1,2,4,477.42
long,0.327,word,related,nail,FINGER,12105,DA26,Female,18,13,21,27,22,6,7,8,3,483.32
long,0.327,word,related,nail,FINGER,12105,DA40,Male,21,16,16,16,6,6,1,2,3,521.64
long,0.327,word,related,nail,FINGER,12105,DB42,Female,18,20,20,17,19,5,1,5,5,521.64
long,0.327,word,related,nail,FINGER,12105,DA39,Female,17,4,17,14,15,4,1,4,2,697.2
long,0.327,word,related,nail,FINGER,12105,DA12,Female,22,12,12,12,8,0,1,0,0,514.2
long,0.327,word,related,nail,FINGER,12105,DA11,Male,19,13,24,26,17,7,4,7,5,1046.67
long,0.327,word,related,nail,FINGER,12105,DA32,Female,27,20,24,27,15,4,2,11,1,833.86
long,0.327,word,related,nail,FINGER,12105,DB38,Female,19,12,24,26,16,4,3,3,2,396.72
long,0.327,word,related,nail,FINGER,12105,DA08,Female,19,14,24,19,17,4,2,7,3,441.68
long,0.327,word,related,nail,FINGER,12105,DB16,Female,19,14,11,14,8,1,1,1,0,601.43
long,0.327,word,related,nail,FINGER,12105,DA16,Female,19,11,16,26,12,5,3,5,0,443.73
long,0.327,word,related,nail,FINGER,12105,DB39,Female,18,4,13,19,9,2,1,4,1,408.72
long,0.327,word,related,nail,FINGER,12105,DB41,Female,19,8,12,13,8,1,1,0,1,408.72
long,0.327,word,related,nail,FINGER,12105,DB45,Female,18,14,24,39,17,4,5,10,7,861.82
long,0.327,word,related,nail,FINGER,12105,DA15,Female,21,5,10,22,10,0,3,1,0,322.96
long,0.327,word,related,nail,FINGER,12105,DB20,Female,19,8,8,19,9,0,5,1,0,503.88
long,0.327,word,related,nail,FINGER,12105,DA06,Female,18,6,27,22,11,4,4,5,3,585.45
long,0.327,word,related,nail,FINGER,12105,DB13,Female,19,16,17,25,21,3,3,2,1,631.99
long,0.327,word,related,nail,FINGER,12105,DA29,Female,19,20,26,28,18,3,4,9,5,693.32
long,0.327,word,related,nail,FINGER,12105,DA41,Female,19,6,9,14,8,0,2,5,1,930.75
long,0.327,word,related,nail,FINGER,12105,DB43,Female,21,12,19,24,14,3,6,7,5,930.75
long,0.327,word,related,nail,FINGER,12105,DB23,Female,18,8,32,24,20,10,2,7,4,527.09
long,0.327,word,related,nail,FINGER,12105,DB36,Female,19,11,20,13,17,4,2,7,4,810.3
long,0.327,word,related,nail,FINGER,12105,DA14,Female,19,13,24,19,14,3,1,0,5,1779.74
long,0.327,word,related,nail,FINGER,12105,DB26,Female,19,4,21,21,19,3,3,4,2,522.91
long,0.327,word,related,nail,FINGER,12105,DB01,Female,23,9,19,10,9,4,1,5,3,730.88
long,0.327,word,related,nail,FINGER,12105,DB37,Female,22,13,12,13,6,2,3,2,1,620.81
long,0.327,word,related,nail,FINGER,12105,DB08,Female,19,12,19,11,15,5,1,4,4,715.28
long,0.327,word,related,nail,FINGER,12105,DA10,Female,21,13,14,26,19,2,4,6,5,346.1
long,0.327,word,related,nail,FINGER,12105,DA25,Female,19,4,22,18,14,4,3,6,5,608.67
long,0.327,word,related,nail,FINGER,12105,DA38,Female,19,8,18,15,22,2,1,8,5,542.42
long,0.327,word,related,nail,FINGER,12105,DB40,Female,24,7,8,12,6,0,1,0,1,542.42
long,0.327,word,related,nail,FINGER,12105,DB09,Female,23,11,19,26,18,1,3,2,2,647.08
long,0.327,word,related,nail,FINGER,12105,DA34,Female,20,12,8,9,19,1,1,6,5,839.18
long,0.327,word,related,nail,FINGER,12105,DA13,Female,23,6,19,15,10,1,2,1,2,391.55
long,0.327,word,related,nail,FINGER,12105,DA19,Male,20,13,22,30,29,2,6,8,3,605.52
long,0.327,word,related,nail,FINGER,12105,DB07,Male,18,12,13,29,11,2,2,7,4,891.06
long,0.327,word,related,nail,FINGER,12105,DA27,Female,20,9,20,28,23,4,5,4,4,424.79
long,0.327,word,related,nail,FINGER,12105,DA23,Female,18,12,24,19,12,5,1,6,2,758.7
long,0.327,word,related,nail,FINGER,12105,DA21,Female,18,7,19,19,14,5,2,1,2,469.64
long,0.327,word,related,nail,FINGER,12105,DA22,Female,18,11,24,34,21,2,7,10,5,646.9
