soa,relationproportion,lexicality,relation,prime,target,item,participant,sex,age,bilingualism,SPQPos,SPQNeg,SPQDis,OLIFEPos,OLIFENeg,OLIFEDis,OLIFEImp,reactiontime
short,0.078,word,related,call,COMMUNICATION,31101,IA06,Mujer,20,13,9,12,9,0,2,4,0,578.81
short,0.078,word,related,call,COMMUNICATION,31101,IA16,Mujer,19,12,15,12,10,1,1,5,0,543.9
short,0.078,word,related,call,COMMUNICATION,31101,IA21,Mujer,19,16,30,29,16,5,6,5,7,821.92
short,0.078,word,related,call,COMMUNICATION,31101,IA29,Mujer,20,13,14,17,7,1,2,1,2,702.29
short,0.078,word,related,call,COMMUNICATION,31101,IA30,Mujer,20,10,13,18,10,3,2,4,0,457.53
short,0.078,word,related,call,COMMUNICATION,31101,IA34,Mujer,20,12,9,19,8,0,1,2,0,801.76
short,0.078,word,related,call,COMMUNICATION,31101,IA40,Mujer,20,20,19,27,15,2,5,6,2,615.2
short,0.078,word,related,call,COMMUNICATION,31101,IA41,Mujer,18,20,16,22,13,4,3,9,2,551.45
short,0.078,word,related,call,COMMUNICATION,31101,IB02,Mujer,19,14,21,17,24,5,2,4,0,525.24
short,0.078,word,related,call,COMMUNICATION,31101,IB15,Mujer,19,9,13,20,7,0,2,4,0,554.87
short,0.078,word,related,call,COMMUNICATION,31101,IB16,Hombre,17,13,20,19,10,8,3,3,1,626.76
short,0.078,word,related,call,COMMUNICATION,31101,IB17,Mujer,23,14,14,15,12,3,2,2,1,567.88
short,0.078,word,related,call,COMMUNICATION,31101,IB20,Hombre,19,17,24,36,26,3,5,11,5,539.06
short,0.078,word,related,call,COMMUNICATION,31101,IB21,Mujer,20,12,12,24,10,0,4,1,2,558.27
short,0.078,word,related,call,COMMUNICATION,31101,IB23,Mujer,19,12,17,18,14,2,1,1,1,534.51
short,0.078,word,related,call,COMMUNICATION,31101,IB26,Mujer,18,4,13,22,9,0,2,2,0,461.39
short,0.078,word,related,call,COMMUNICATION,31101,IB27,Mujer,20,20,16,21,13,1,1,7,2,451.55
short,0.078,word,related,call,COMMUNICATION,31101,IB29,Mujer,18,7,17,20,9,3,4,4,2,496.65
short,0.078,word,related,call,COMMUNICATION,31101,IB32,Mujer,18,13,28,20,15,3,2,4,3,570.64
short,0.078,word,related,call,COMMUNICATION,31101,IB39,Mujer,19,11,16,14,9,3,1,2,0,860.77
short,0.078,word,related,call,COMMUNICATION,31101,IA02,Mujer,17,13,9,16,7,0,3,3,0,600.55
short,0.078,word,related,call,COMMUNICATION,31101,IA09,Mujer,18,9,8,17,9,1,3,4,3,737.02
short,0.078,word,related,call,COMMUNICATION,31101,IA14,Hombre,19,8,13,13,15,1,1,1,3,551.36
short,0.078,word,related,call,COMMUNICATION,31101,IA15,Mujer,18,16,17,25,22,6,6,8,2,510.75
short,0.078,word,related,call,COMMUNICATION,31101,IB10,Mujer,19,10,16,11,8,3,1,0,1,406.55
short,0.078,word,related,call,COMMUNICATION,31101,IB25,Mujer,19,4,13,8,8,1,1,3,3,507.98
short,0.078,word,related,call,COMMUNICATION,31101,IB30,Mujer,19,15,12,28,8,0,4,4,0,474.3
short,0.078,word,related,call,COMMUNICATION,31101,IB31,Mujer,24,20,18,14,8,1,2,1,0,597.33
short,0.078,word,related,call,COMMUNICATION,31101,IB33,Mujer,20,12,25,31,22,1,8,8,5,580.57
short,0.078,word,related,call,COMMUNICATION,31101,IB38,Mujer,18,15,20,19,13,3,1,7,3,455.61
short,0.078,word,related,call,COMMUNICATION,31101,IA03,Mujer,19,20,10,19,9,0,2,5,2,621.87
short,0.078,word,related,call,COMMUNICATION,31101,IA05,Hombre,20,12,18,26,8,4,3,2,0,521.26
short,0.078,word,related,call,COMMUNICATION,31101,IA08,Mujer,19,10,17,19,10,1,3,6,0,604.99
short,0.078,word,related,call,COMMUNICATION,31101,IA13,Mujer,22,11,17,9,8,4,2,5,4,523.48
short,0.078,word,related,call,COMMUNICATION,31101,IA28,Mujer,20,4,14,13,10,0,2,2,3,500.86
short,0.078,word,related,call,COMMUNICATION,31101,IA35,Mujer,18,15,23,14,19,7,1,7,4,649.11
short,0.078,word,related,call,COMMUNICATION,31101,IB03,Mujer,18,17,16,14,13,3,1,6,3,643.56
short,0.078,word,related,call,COMMUNICATION,31101,IB04,Mujer,23,11,14,13,9,2,2,5,1,562.07
short,0.078,word,related,call,COMMUNICATION,31101,IB05,Mujer,18,12,28,20,12,4,2,3,2,474.34
short,0.078,word,related,call,COMMUNICATION,31101,IB37,Mujer,20,14,24,29,13,3,8,5,4,466.7
short,0.078,word,related,call,COMMUNICATION,31101,IA11,Mujer,19,8,20,21,16,4,2,10,4,537.57
short,0.078,word,related,call,COMMUNICATION,31101,IA24,Mujer,22,20,10,11,8,0,3,1,1,698.06
short,0.078,word,related,call,COMMUNICATION,31101,IA32,Mujer,19,11,15,20,9,3,3,5,0,526.22
short,0.078,word,related,call,COMMUNICATION,31101,IA37,Mujer,20,9,14,28,14,2,5,9,3,551.66
short,0.078,word,related,call,COMMUNICATION,31101,IA44,Mujer,18,4,20,24,17,3,6,10,2,480.72
short,0.078,word,related,call,COMMUNICATION,31101,IB06,Mujer,17,14,14,28,20,5,5,6,4,465.03
short,0.078,word,related,call,COMMUNICATION,31101,IB22,Hombre,18,13,22,24,17,7,2,8,5,1330.99
short,0.078,word,related,call,COMMUNICATION,31101,IB34,Mujer,18,14,14,26,15,1,6,5,5,NA
short,0.078,word,related,call,COMMUNICATION,31101,IB35,Mujer,19,12,29,26,11,5,3,4,2,726.23
short,0.078,word,related,call,COMMUNICATION,31101,IA20,Mujer,20,12,18,15,12,1,1,5,1,552.43
short,0.078,word,related,call,COMMUNICATION,31101,IA31,Mujer,18,15,21,21,11,3,1,4,1,529.24
short,0.078,word,related,call,COMMUNICATION,31101,IA42,Hombre,18,11,11,12,8,0,1,4,2,703.06
short,0.078,word,related,call,COMMUNICATION,31101,IB14,Mujer,19,7,29,15,11,3,1,4,2,422.39
short,0.078,word,related,call,COMMUNICATION,31101,IB28,Mujer,20,12,21,12,13,1,2,1,1,501.97
short,0.078,word,related,call,COMMUNICATION,31101,IA12,Mujer,21,14,16,17,19,1,5,4,2,387.03
short,0.078,word,related,call,COMMUNICATION,31101,IA27,Mujer,21,14,17,26,17,1,3,9,0,638.72
short,0.078,word,related,call,COMMUNICATION,31101,IA39,Mujer,24,4,17,18,14,0,1,1,1,493.62
short,0.078,word,related,call,COMMUNICATION,31101,IA45,Mujer,22,20,15,13,13,1,1,2,1,937.55
short,0.078,word,related,call,COMMUNICATION,31101,IB18,Mujer,21,12,19,13,18,3,1,3,4,757.76
short,0.078,word,related,call,COMMUNICATION,31101,IB24,Mujer,20,14,27,16,17,5,3,10,5,397.4
short,0.078,word,related,call,COMMUNICATION,31101,IB36,Hombre,25,9,21,13,15,3,0,1,5,494.15
short,0.078,word,related,call,COMMUNICATION,31101,IA18,Mujer,19,6,18,14,11,3,2,3,2,536.7
short,0.078,word,related,call,COMMUNICATION,31101,IA33,Mujer,18,11,26,24,14,7,2,0,1,518.08
short,0.078,word,related,call,COMMUNICATION,31101,IB08,Mujer,18,4,22,18,11,4,1,3,3,781.25
short,0.078,word,related,call,COMMUNICATION,31101,IB13,Mujer,19,16,31,24,14,4,1,4,1,409.87
short,0.078,word,related,call,COMMUNICATION,31101,IA38,Mujer,23,8,10,22,10,3,4,3,1,461.79
short,0.078,word,related,call,COMMUNICATION,31101,IA43,Mujer,20,10,30,18,16,8,2,7,4,546.92
short,0.078,word,related,call,COMMUNICATION,31101,IB40,Mujer,20,13,13,9,11,2,2,0,1,685.77
short,0.078,word,related,call,COMMUNICATION,31101,IB41,Mujer,21,9,25,23,14,7,2,8,3,509.44
short,0.078,word,related,call,COMMUNICATION,31101,IB42,Mujer,20,8,20,13,8,3,3,3,1,538.57
short,0.078,word,related,call,COMMUNICATION,31101,IA01,Mujer,23,14,13,9,6,2,1,1,2,753.52
short,0.078,word,related,call,COMMUNICATION,31101,IA22,Hombre,22,20,15,23,12,0,1,0,0,407.77
short,0.078,word,related,call,COMMUNICATION,31101,IA07,Mujer,18,18,24,28,19,3,2,8,1,854.3
short,0.078,word,related,call,COMMUNICATION,31101,IA10,Mujer,19,12,15,23,14,1,1,6,1,448.84
short,0.078,word,related,call,COMMUNICATION,31101,IA26,Mujer,18,12,23,27,19,5,4,5,3,830.06
short,0.078,word,related,call,COMMUNICATION,31101,IB07,Mujer,22,16,20,20,16,5,1,4,3,1217.06
short,0.078,word,related,call,COMMUNICATION,31101,IA25,Mujer,22,10,16,9,6,2,1,2,1,434.11
short,0.078,word,related,call,COMMUNICATION,31101,IA36,Mujer,20,9,16,21,15,3,2,5,3,597.18
