Participant,Time,Study,Instructions,Version,Word,Consistency_H,Orthography,Measure,Score,WASImRS,TOWREsweRS,TOWREpdeRS,CC2regRS,CC2irregRS,CC2nwRS,WASIvRS,BPVSRS,Spelling.transcription,Levenshtein.Score,zTOWREsweRS,zTOWREpdeRS,zCC2regRS,zCC2irregRS,zCC2nwRS,zWASIvRS,zBPVSRS,mean_z_vocab,mean_z_read,zConsistency_H
EOF001,1,Study1&2,explicit,a,Accolade,1.914239347,absent,Orth_sp,0,15,62,33,39,27,30,26,126,acalade,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.40969299253162683
EOF001,1,Study1&2,explicit,a,Cataclysm,3.506007504,present,Orth_sp,1,15,62,33,39,27,30,26,126,Cataclysm,0,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,1.1762046733894005
EOF001,1,Study1&2,explicit,a,Contrition,1.748689844,absent,Orth_sp,1,15,62,33,39,27,30,26,126,Contrition,0,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.5746319437523266
EOF001,1,Study1&2,explicit,a,Debacle,2.900838647,present,Orth_sp,0,15,62,33,39,27,30,26,126,dibarcle,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,0.5732676981874297
EOF001,1,Study1&2,explicit,a,Dormancy,1.626308892,absent,Orth_sp,0,15,62,33,39,27,30,26,126,doormensy,3,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.6965615509482529
EOF001,1,Study1&2,explicit,a,Epigram,1.382233748,present,Orth_sp,1,15,62,33,39,27,30,26,126,Epigram,0,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.9397365381326075
EOF001,1,Study1&2,explicit,a,Foible,2.705198683,present,Orth_sp,1,15,62,33,39,27,30,26,126,Foible,0,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,0.37834926053427964
EOF001,1,Study1&2,explicit,a,Fracas,3.144334493,absent,Orth_sp,0,15,62,33,39,27,30,26,126,fracar,1,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,0.8158655238410473
EOF001,1,Study1&2,explicit,a,Lassitude,0.904820246,present,Orth_sp,0,15,62,33,39,27,30,26,126,lacitude,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-1.4153893241061266
EOF001,1,Study1&2,explicit,a,Luminary,1.098593129,absent,Orth_sp,0,15,62,33,39,27,30,26,126,loomenery,4,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-1.2223310815994646
EOF001,1,Study1&2,explicit,a,Nonentity,3.968139062,absent,Orth_sp,0,15,62,33,39,27,30,26,126,nonenterty,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,1.6366318756535356
EOF001,1,Study1&2,explicit,a,Platitude,0.904820246,present,Orth_sp,1,15,62,33,39,27,30,26,126,Platitude,0,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-1.4153893241061266
EOF001,1,Study1&2,explicit,a,Propensity,1.686189844,absent,Orth_sp,0,15,62,33,39,27,30,26,126,propencity,1,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.6369014417845481
EOF001,1,Study1&2,explicit,a,Raconteur,3.824533407,absent,Orth_sp,0,15,62,33,39,27,30,26,126,raconter,1,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,1.4935558428305218
EOF001,1,Study1&2,explicit,a,Syncopation,3.0436450330000002,present,Orth_sp,0,15,62,33,39,27,30,26,126,sincipation,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,0.7155474097396803
EOF001,1,Study1&2,explicit,a,Veracity,2.869383714,present,Orth_sp,0,15,62,33,39,27,30,26,126,varacity,1,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,0.5419287719706752
EOF001,2,Study1&2,explicit,a,Accolade,1.914239347,absent,Orth_sp,0,15,62,33,39,27,30,26,126,ackalade,2,-1.1015902922325893,-0.7643792776110456,0.9804881171245239,0.5400617237511474,-0.3544095344901845,-0.431846279932118,-0.03952711370697007,-0.23568669681954402,-0.13996585269162964,-0.40969299253162683
