item_name,Phono_N,OLD,OLDF,PLD,PLDF,NPhon,NMorph,regularity,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,US.FREQcount,US.CDcount,brookesIMG,corteseIMG,corteseAOA,AoA_Kup_lem,Voice,Nasal,Fricative,Liquid_SV,Bilabials,Labiodentals,Alveolars,Palatals,Velars,Glottals,UK.FREQcount,UK.cbeebies.FREQcount,UK.cbbc.FREQcount,UK.BNC.FREQcount,LogFreq.Zipf.,LogFreqCbeebies.Zipf.,LogFreqCBBC.Zipf.,LogFreqBNC.Zipf.,UK.CDcount,UK.cbeebies.CDcount,UK.cbbc.CDcount,Lg.US.FREQcount,Lg.US.CDcount,Lg.UK.FREQcount,Lg.UK.cbeebies.FREQcount,Lg.UK.cbbc.FREQcount,Lg.UK.BNC.FREQcount,Lg.UK.CDcount,Lg.UK.cbeebies.CDcount,Lg.UK.cbbc.CDcount
act,8,1.5,9.114,1,8.477,3,1,1,3,5,2603,1301.5,258,5565,3086,4,3.5,3.419354839,6.42,1,0,0,0,0,0,0,0,0,0,19642,146,2116,27467,4.99,4.4,5.19,5.44,10815,104,879,3.745543202,3.489536629,4.293207817,2.167317335,3.325720858,4.438827039,4.034066679,2.021189299,2.944482672
ask,1,1.5,9.058,1.55,8.689,3,1,0,3,4,1678,839,207,24640,7014,3.275862069,2.7,2.533333333,2.89,1,0,0,0,0,0,0,0,0,0,51658,2247,3296,19401,5.41,5.58,5.38,5.29,22810,1129,1856,4.391658329,3.846027675,4.713145995,3.351796307,3.518118947,4.2878465,4.358144325,3.053078443,3.268811904
both,14,1.65,8.274,1.25,8.413,3,1,0,4,4,2992,997.333,860,15062,6112,2.413793103,2.3,2.71875,4.772365,1,0,0,0,1,0,0,0,0,0,75205,1029,4725,68806,5.57,5.24,5.54,5.84,27363,723,2058,4.177911476,3.786254396,4.87625249,3.012837225,3.674493717,4.837632623,4.437179582,2.859738566,3.313656347
box,16,1.4,9.003,1.05,7.8,4,1,1,3,10,860,430,380,4577,2353,6.034482759,6.7,2.5,4.3,1,0,0,0,1,0,0,0,0,0,26693,1820,2200,8922,5.12,5.49,5.21,4.95,11267,676,995,3.660675788,3.371806459,4.426413656,3.260309946,3.342620043,3.950510893,4.051846838,2.830588669,2.998259338
broad,13,1.7,7.416,1.35,8.035,4,1,0,5,2,4189,1047.25,1348,751,527,2.931034483,3.3,4.6875,10.5,1,0,0,0,1,0,0,0,0,0,3354,24,89,5204,4.22,3.63,3.82,4.71,2459,13,66,2.876217841,2.722633923,3.525692525,1.397940009,1.954242509,3.716420734,3.390935107,1.146128036,1.826074803
bronze,4,2.05,7.166,1.85,7.265,5,1,1,6,0,7848,1569.6,1397,143,99,5.344827586,5.6,4.625,10,1,0,0,0,1,0,0,0,0,0,5119,17,136,1518,4.41,3.49,4,4.18,1761,5,71,2.158362492,2,3.709269961,1.255272505,2.136720567,3.181557774,3.246005904,0.77815125,1.857332496
calf,16,1.85,8.499,1.1,9.257,3,1,0,4,3,4968,1656,1239,151,108,5.724137931,6.5,3.6875,6.63,0,0,0,0,0,0,0,0,1,0,1744,25,162,648,3.94,3.65,4.08,3.81,659,13,75,2.181843588,2.037426498,3.241795431,1.414973348,2.212187604,2.812244697,2.819543936,1.146128036,1.880813592
can,27,1,9.817,1,9.552,3,1,1,3,15,5286,2643,1371,267620,8353,5.24137931,5.1,2.451612903,4.32,0,0,0,0,0,0,0,0,1,0,728539,35879,61863,236321,6.56,6.79,6.66,6.37,43248,4232,4653,5.427520189,3.921894471,5.862453401,4.554852434,4.791437997,5.373504153,4.63597607,3.626648268,3.667826379
care,27,1,8.735,1,9.965,3,1,0,4,24,9310,3103.333,2195,24748,6945,4.24137931,3.1,3.161290323,5.65,0,0,0,0,0,0,0,0,1,0,44115,580,2724,24905,5.34,5,5.3,5.39,16895,394,1469,4.393557656,3.841734779,4.644596128,2.764176132,3.435366507,4.396303984,4.227783901,2.596597096,3.167317335
carve,7,1.65,8.164,1.6,8.771,4,1,1,5,3,6886,1721.5,2072,158,135,4.034482759,4.8,4.3125,6.35,0,0,0,0,0,0,0,0,1,0,752,4,36,250,3.57,2.93,3.43,3.4,593,4,26,2.201397124,2.133538908,2.876794976,0.698970004,1.568201724,2.399673721,2.773786445,0.698970004,1.431363764
chance,5,1.75,7.572,1.7,7.247,4,1,0,6,2,9175,1835,1687,12303,5343,2.75862069,2.1,3.774193548,7.78,0,0,1,0,0,0,0,1,0,0,57576,441,4113,13309,5.46,4.88,5.48,5.12,23090,349,2189,4.090046322,3.727866449,4.760249033,2.645422269,3.614264287,4.124178055,4.363442741,2.544068044,3.340444115
